"total.date","total.values","pub.values","priv.values","edif.values","agua.values","elec.values","trans.values","petr.values","otras.values"
2006-10-01,107.53714342,90.89812784,109.31394417,116.25585679,130.40686424,122.90353309,89.95621371,91.02598006,92.58083677
2006-09-01,106.35847636,90.39333369,106.42546962,122.73320995,135.43956178,84.52207181,78.92522616,111.12844349,89.8197692
2006-08-01,105.53277633,89.79514214,101.06890188,120.59545719,96.82452864,97.89879243,79.51146455,98.20649912,83.9993188
2006-07-01,104.44800559,91.72654774,98.40847301,117.31716146,109.80979849,104.87182812,85.7139023,97.74019746,90.29223479
2006-06-01,100.90971451,87.52830054,102.26818197,107.44003218,123.67491169,93.82251927,90.5188573,92.15016388,71.17519223
2006-05-01,98.20316595,86.01335083,98.849272,108.48546464,103.62809993,91.2931974,95.81640672,94.0210028,66.20102837
2006-04-01,96.991221,85.36999493,94.38026324,111.79381001,98.03086241,118.77401268,87.16836651,91.02423992,75.11878902
2006-03-01,100.97600068,87.14528168,103.80187146,121.64932588,134.37655381,93.14621281,86.82862178,71.97723559,64.25161331
2006-02-01,95.77467473,89.1031591,92.72871573,108.82688109,156.04446566,89.3403462,89.21054596,108.17550408,71.10285625
2006-01-01,97.82602498,88.99443093,97.89944609,108.89189902,134.05020452,88.62429337,89.30519067,79.99912113,61.59165055
